idkec;nmkec;residential;secondary;service;tertiary;track;unclassified;living_street;footway;path;motorway;motorway_link;services;trunk;trunk_link;primary;proposed;construction;secondary_link;primary_link;tertiary_link;pedestrian;raceway;cycleway;steps;corridor
1607081;MUARA SUGIHAN;253395.422;0;3619.364;0;26911.795;216517.594;0;0;10153.054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607090;MAKARTI JAYA;173527.125;0;39.49;0;31612.68;35112.55;0;0;944.722;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607091;AIR SALEK;218845.925;0;4209.955;0;24236.245;122747.36;0;0;36369.612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607100;BANYUASIN II;68302.638;0;47317.487;1526.214;97419.2;86416.695;0;87.308;8371.874;0;0;0;0;0;22998.12;0;0;0;0;0;0;0;0;0;0
1607101;KARANG AGUNG ILIR;168149.938;0;532.299;0;12332.456;9822.262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607110;MUARA TELANG;242805.32;0;29659.467;0;7627.52;177243.149;0;0;30227.142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607111;SUMBER MARGA TELANG;59427.433;0;10905.065;0;15839.028;64846.01;0;0;279.555;0;0;0;0;0;22346.647;0;0;0;0;0;0;0;0;0;0
1608010;MEKAKAU ILIR;39387.157;37160.381;3692.705;0;197028.813;17177.456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608020;BANDING AGUNG;88831.077;25096.278;7565.21;0;44584.369;45397.403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608021;WARKUK RANAU SELATAN;70288.58;20406.195;1090.764;34936.79;63192.674;42968.958;0;0;279.061;0;0;0;0;0;0;0;0;0;0;0;15.835;0;0;0;0
1608022;BUAY PEMATANG RIBU RANAU TENGAH;69963.322;44798.21;371.003;0;72667.681;38420.765;209.507;96.323;157.465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608030;BUAY PEMACA;108062.695;0;2859.466;40155.7;273203.854;185723.236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608040;SIMPANG;27258.314;31741.459;7409.805;16096.098;24756.814;45627.964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608041;BUANA PEMACA;34411.756;15807.693;4602.573;21450.2;23390.709;52380.194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608050;MUARADUA;99982.277;24173.452;10157.429;21735.702;33425.265;44259.634;803.499;0;1296.631;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608051;BUAY RAWAN;67228.988;23576.796;13502.104;1813.224;27672.322;28813.294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608060;BUAY SANDANG AJI;13868.263;43139.449;0;34253.099;13974.052;15489.243;0;0;116.201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608061;TIGA DIHAJI;7781.159;12708.586;34005.27;0;85356.278;10974.948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608070;BUAY RUNJUNG;8836.862;0;532.36;25585.33;13635.498;45373.369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608071;RUNJUNG AGUNG;8746.363;0;192.575;0;16754.423;42140.107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608080;KISAM TINGGI;12383.446;0;13924.703;0;87822.608;141736.243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608090;MUARADUA KISAM;12858.374;0;180.762;32860.817;102310.579;44731.457;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608091;KISAM ILIR;6959.894;7137.042;0;14774.381;30032.266;21673.378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608100;PULAU BERINGIN;18204.427;60562.759;86.566;0;94868.77;10614.624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608101;SINDANG DANAU;16319.852;25179.112;651.538;5344.93;11630.939;8839.461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1608102;SUNGAI ARE;25101.829;33673.718;659.414;0;56510.728;24410.451;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609010;MARTAPURA;250142.785;47549.976;27427.869;35343.658;91895.731;35939.803;0;0;4610.202;0;0;0;24795.938;77.886;0;0;0;13.344;0;23.341;0;1513.733;0;0;0
1609011;BUNGA MAYANG;51534.337;26675.1;5328.54;0;29108.528;21983.617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609012;JAYA PURA;39131.895;0;28328.697;37919.336;43538.209;88837.161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609020;BUAY PEMUKA PELIUNG;111925.634;42390.962;3670.197;17280.339;131706.952;76045.594;639.117;0;803.364;0;0;0;9342.738;0;0;0;0;0;0;0;0;0;0;0;0
1609030;BUAY MADANG;145071.984;100517.358;1361.52;9147.23;29182.289;76408.711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609031;BUAY MADANG TIMUR;258806.199;48425.767;1035.557;29260.754;17088.319;121984.689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609032;BUAY PEMUKA BANGSA RAJA;51310.977;39597.917;2539.347;0;29766.725;67680.142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;290.849;0
1609040;MADANG SUKU II;75706.73;39597.917;11010.383;0;36169.88;116389.552;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609041;MADANG SUKU III;103443.359;0;4402.366;0;20419.882;130148.568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609050;MADANG SUKU I;169314.406;78084.697;17201.247;4573.243;4015.952;75254.788;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609051;BELITANG MADANG RAYA;212591.254;79244.682;5031.459;8625.663;1623.437;73682.698;0;0;72.775;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609060;BELITANG;222845.16;78011.353;4732.964;33186.103;1430.528;23086;2134.739;51.291;1183.942;0;0;0;0;0;0;0;0;0;0;0;0;0;187.709;0;0
1609061;BELITANG JAYA;123165.016;0;24327.457;56038.296;898.094;25261.775;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609070;BELITANG III;177882.482;59602.229;1738.677;51325.244;0;32917.949;0;0;698.773;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609080;BELITANG II;238558.769;38842.087;5894.788;57068.949;10407.067;35809.522;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1609081;BELITANG MULYA;96158.311;38842.087;2648.522;14681.821;546.348;19498.042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
