idkec;nmkec;Trees;Grassland;Cropland;Built-up;Shrubland;Barren Sparse Vegetation;Open Water;Herbaceous Wetland;Mangroves
1611010;MUARA PINANG;0.9698;0;0.0215;0.0087;0;0;0;0;0
1611020;LINTANG KANAN;0.8905;0;0.1079;0.0016;0;0;0;0;0
1611030;PENDOPO;0.8724;0;0.1137;0.0139;0;0;0;0;0
1611031;PENDOPO BARAT;0.999;0;0;0.001;0;0;0;0;0
1611040;PASEMAH AIR KERUH;0.7859;0.0094;0.2047;0;0;0;0;0;0
1611050;ULU MUSI;0.9901;0;0.0099;0;0;0;0;0;0
1611051;SIKAP DALAM;0.9907;0.0093;0;0;0;0;0;0;0
1611060;TALANG PADANG;0.9837;0;0.0163;0;0;0;0;0;0
1611070;TEBING TINGGI;0.9972;0;0.0028;0;0;0;0;0;0
1611071;SALING;0.9913;0;0.0087;0;0;0;0;0;0
1612010;TALANG UBI;0.9986;0;0;0.0014;0;0;0;0;0
1612020;TANAH ABANG;0.92;0.0192;0.0395;0.009;0;0;0.0067;0.0056;0
1612030;ABAB;0.8983;0.0477;0.0061;0.0027;0.0027;0.0102;0.0108;0.0216;0
1612040;PENUKAL;0.9745;0.0139;0;0.0029;0.0056;0;0.0002;0.003;0
1612050;PENUKAL UTARA;0.9184;0.0514;0;0;0.0094;0.0119;0;0.0089;0
1613010;ULU RAWAS;1;0;0;0;0;0;0;0;0
1613020;KARANG JAYA;1;0;0;0;0;0;0;0;0
1613030;RAWAS ULU;0.9979;0;0;0;0;0.0021;0;0;0
1613040;RUPIT;0.9963;0.0025;0.0012;0;0;0;0;0;0
1613050;KARANG DAPO;0.9662;0.0175;0.0068;0;0;0.0076;0.0019;0;0
1613060;RAWAS ILIR;0.9762;0.0099;0.0108;0;0;0.0011;0.001;0.001;0
1613070;NIBUNG;0.9954;0.0032;0;0;0;0.0014;0;0;0
1671010;ILIR BARAT II;0;0;0;0.82;0;0;0.18;0;0
1671011;GANDUS;0.5392;0.072;0.1433;0.1475;0;0;0.098;0;0
1671020;SEBERANG ULU I;0;0;0.1427;0.8147;0;0;0.0426;0;0
1671021;KERTAPATI;0.0271;0.2427;0.5437;0.1361;0;0;0.0504;0;0
1671022;JAKABARING;0.1197;0.1735;0.0256;0.6137;0;0;0.0675;0;0
1671030;SEBERANG ULU II;0;0.0733;0;0.8107;0;0;0.116;0;0
1671031;PLAJU;0.161;0.0577;0.1443;0.4194;0;0;0.2176;0;0
1671040;ILIR BARAT I;0.5531;0.0247;0;0.4222;0;0;0;0;0
1671041;BUKIT KECIL;0;0;0;0.9872;0;0;0.0128;0;0
1671050;ILIR TIMUR I;0;0;0;1;0;0;0;0;0
1671051;KEMUNING;0.0162;0;0;0.9838;0;0;0;0;0
1671060;ILIR TIMUR II;0;0;0;0.8585;0;0;0.1035;0.0379;0
1671061;KALIDONI;0.0772;0.0029;0.2753;0.5554;0;0;0.0693;0.0198;0
1671062;ILIR TIMUR TIGA;0;0;0;1;0;0;0;0;0
1671070;SAKO;0.3812;0.2301;0;0.3887;0;0;0;0;0
1671071;SEMATANG BORANG;0.5779;0.2322;0;0.1898;0;0;0;0;0
1671080;SUKARAMI;0.3333;0.1426;0;0.5241;0;0;0;0;0
1671081;ALANG ALANG LEBAR;0.4632;0.1392;0;0.3975;0;0;0;0;0
1672010;RAMBANG KAPAK TENGAH;1;0;0;0;0;0;0;0;0
1672020;PRABUMULIH TIMUR;0.894;0;0;0.106;0;0;0;0;0
1672021;PRABUMULIH SELATAN;0.9725;0;0;0.0275;0;0;0;0;0
1672030;PRABUMULIH BARAT;0.9876;0;0.0085;0.0039;0;0;0;0;0
1672031;PRABUMULIH UTARA;0.876;0;0;0.124;0;0;0;0;0
1672040;CAMBAI;0.9929;0;0;0.0071;0;0;0;0;0
1673010;DEMPO SELATAN;0.9812;0.0001;0.014;0.0047;0;0;0;0;0
1673011;DEMPO TENGAH;0.9921;0;0.0079;0;0;0;0;0;0
1673020;DEMPO UTARA;0.965;0.0021;0.0322;0.0007;0;0;0;0;0
1673030;PAGAR ALAM SELATAN;0.8303;0.0352;0.0748;0.0597;0;0;0;0;0
1673040;PAGAR ALAM UTARA;0.8832;0;0.0725;0.0442;0;0;0;0;0
1674011;LUBUK LINGGAU BARAT I;0.9628;0;0;0.0372;0;0;0;0;0
1674012;LUBUK LINGGAU BARAT II;0.8336;0;0;0.1664;0;0;0;0;0
1674021;LUBUK LINGGAU SELATAN I;0.9981;0;0.0019;0;0;0;0;0;0
1674022;LUBUK LINGGAU SELATAN II;0.8466;0;0.1216;0.0318;0;0;0;0;0
1674031;LUBUK LINGGAU TIMUR I;0.735;0;0;0.265;0;0;0;0;0
1674032;LUBUK LINGGAU TIMUR II;0.6916;0;0;0.3084;0;0;0;0;0
1674041;LUBUK LINGGAU UTARA I;0.9779;0;0.0221;0;0;0;0;0;0
1674042;LUBUK LINGGAU UTARA II;0.9417;0;0;0.0583;0;0;0;0;0
