idkec;nmkec;Trees;Crops;Shrub and Scrub;Built Area;Cloud;Water;Grass;Flooded Vegetation;Bare Ground
1605090;MEGANG SAKTI;0.8659;0.1122;0.0017;0.0202;0;0;0;0;0
1606010;SANGA DESA;0.9124;0.0208;0.0306;0.0081;0;0.0092;0.0059;0.013;0
1606020;BABAT TOMAN;0.8963;0.0467;0.0226;0.0113;0;0.0124;0.004;0.0068;0
1606021;BATANGHARI LEKO;0.961;0.0111;0.0208;0.0004;0;0.0008;0.0024;0.0033;0
1606022;PLAKAT TINGGI;0.9543;0.0059;0.0291;0.0086;0;0;0.0021;0;0
1606023;LAWANG WETAN;0.8816;0.0877;0;0.0025;0;0.0192;0.0014;0.0075;0
1606030;SUNGAI KERUH;0.9901;0.0019;0.0026;0.0019;0;0.0016;0.0019;0;0
1606031;JIRAK JAYA;0.9699;0.0081;0.0144;0.0074;0;0.0002;0;0;0
1606040;SEKAYU;0.8573;0.0355;0.0206;0.0209;0;0.0224;0.0056;0.0378;0
1606041;LAIS;0.7577;0.0406;0.0131;0.0075;0;0.0176;0.0211;0.1424;0
1606090;SUNGAI LILIN;0.8305;0.0165;0.004;0.0587;0;0.0111;0.0791;0;0
1606091;KELUANG;0.9061;0.0018;0.0069;0.0154;0;0;0.0684;0.0013;0
1606092;BABAT SUPAT;0.7467;0.1663;0.0364;0.0113;0;0.012;0.0109;0.0163;0
1606100;BAYUNG LENCIR;0.8045;0.1397;0.0364;0.0016;0;0.002;0.0132;0.0026;0
1606101;LALAN;0.4136;0.4999;0.0226;0.0292;0;0.019;0.0128;0.0029;0
1606102;TUNGKAL JAYA;0.9625;0.0154;0.0144;0.0067;0;0;0.0011;0;0
1607010;RANTAU BAYUR;0.4511;0.0247;0.0715;0.0044;0;0.0601;0.0121;0.3761;0
1607020;BETUNG;0.8198;0.0935;0.0484;0.0307;0;0;0.0076;0;0
